Fleet Totals,2022,2023,2022,2023,2022,2023,2022,2023,2022,2023
Vehicle type,EVs ,EVs,HEVs,HEVs,PHEVs,PHEVs,FCVs,FCVs,Total of this vehicle type (including ICEVs),Total of this vehicle type (including ICEVs)
Electric bike,320000,295000,,,,,,,1850000,1680000
Electric moped (<50 kmph),3.9,5.904,,,,,,,18835,21245
Auto-rickshaw,,,,,,,,,,
Motorcycle,6.906,10.436,,,,,,,270232,259980
Motorcycle with sidecar,,,,,,,,,,
Motorized tricycle,,,,,,,,,,
Passenger vehicles,67273,49169,422190,454989,70472,64632,10,11,1457952,1316919
Buses and Minibuses,84,123,,,,,,,3495,3255
Light Commercial vehicles,3129,4138,,,382,614,,,184850,161096
Medium and Heavy Weight Trucks,8,17,,,,,,,25090,25341
