,,2022,2023,2022,2023
Type of Public EVSE,,Number of Charging outlets (as of December 31st 2021),Number of Charging outlets (as of December 31st 2022),Number of locations (as of December 31st 2021) ,Number of locations (as of December 31st 2022) 
AC Level 1 Chargers ,AC charging (? 3.7 kW),4096,4183,10503,16700
AC Level 2 Chargers ,"AC charging  (>3.7 kW, ? 22 kW)",19165,26942,,
AC Fast Chargers ,AC charging (43 kW),922,921,,
DC Fast Chargers ,DC charging (? 50 kW),914,1201,,
Tesla Superchargers ,DC charging (> 120kW- 250kW),355,,,
Ultrafast-High power chargers,DC charging (> 50 kW and ? 350 kW),635,4347,,
Inductive Chargers,EM charging,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
